"","ID","Season","Month","Nature","time","Latitude","Longitude","Wind.kt"
"1","ALLISON.1989",1989,"June","TS",(89-06-24 18:00:00),27,-96,30
"2","ALLISON.1989",1989,"June","TS",(89-06-25 00:00:00),27,-96,30
"3","ALLISON.1989",1989,"June","TS",(89-06-25 06:00:00),27.2,-96,30
"4","ALLISON.1989",1989,"June","TS",(89-06-25 12:00:00),27.4,-95.9,30
"5","ALLISON.1989",1989,"June","TS",(89-06-25 18:00:00),27.6,-95.8,30
"6","ALLISON.1989",1989,"June","TS",(89-06-26 00:00:00),27.8,-95.8,35
"7","ALLISON.1989",1989,"June","TS",(89-06-26 06:00:00),28.1,-95.8,35
"8","ALLISON.1989",1989,"June","TS",(89-06-26 12:00:00),28.6,-95.7,40
"9","ALLISON.1989",1989,"June","TS",(89-06-26 13:00:00),28.7,-95.7,40
"10","ALLISON.1989",1989,"June","TS",(89-06-26 18:00:00),29.1,-95.7,45
"11","ALLISON.1989",1989,"June","TS",(89-06-27 00:00:00),29.7,-95.7,45
"12","ALLISON.1989",1989,"June","TS",(89-06-27 06:00:00),30.2,-95.3,35
"13","ALLISON.1989",1989,"June","TS",(89-06-27 12:00:00),30.6,-94.9,30
"14","ALLISON.1989",1989,"June","TS",(89-06-27 18:00:00),30.9,-94.6,30
"15","ALLISON.1989",1989,"June","ET",(89-06-28 00:00:00),31.1,-94.2,30
"16","ALLISON.1989",1989,"June","ET",(89-06-28 06:00:00),31.1,-93.9,30
"17","ALLISON.1989",1989,"June","ET",(89-06-28 12:00:00),31,-93.7,30
"18","ALLISON.1989",1989,"June","ET",(89-06-28 18:00:00),30.6,-93.8,25
"19","ALLISON.1989",1989,"June","ET",(89-06-29 00:00:00),30.5,-94.2,25
"20","ALLISON.1989",1989,"June","ET",(89-06-29 06:00:00),30.3,-94.6,25
"21","ALLISON.1989",1989,"June","ET",(89-06-29 12:00:00),30.1,-95,25
"22","ALLISON.1989",1989,"June","ET",(89-06-29 18:00:00),29.8,-95.2,25
"23","ALLISON.1989",1989,"June","ET",(89-06-30 00:00:00),29.6,-95.3,20
"24","ALLISON.1989",1989,"June","ET",(89-06-30 06:00:00),29.7,-95.7,20
"25","ALLISON.1989",1989,"June","ET",(89-06-30 12:00:00),30.4,-95.7,20
"26","ALLISON.1989",1989,"June","ET",(89-06-30 18:00:00),31.1,-95.5,20
"27","ALLISON.1989",1989,"July","ET",(89-07-01 00:00:00),31.8,-95.1,20
"28","ALLISON.1989",1989,"July","ET",(89-07-01 06:00:00),32.3,-94.5,20
"29","ALLISON.1989",1989,"July","ET",(89-07-01 12:00:00),32.8,-93.8,20
"30","BARRY.1989",1989,"July","TS",(89-07-09 18:00:00),12.8,-37.8,25
"31","BARRY.1989",1989,"July","TS",(89-07-10 00:00:00),13,-39.9,25
"32","BARRY.1989",1989,"July","TS",(89-07-10 06:00:00),13.9,-42.1,25
"33","BARRY.1989",1989,"July","TS",(89-07-10 12:00:00),15,-44.6,30
"34","BARRY.1989",1989,"July","TS",(89-07-10 18:00:00),16.3,-46.9,30
"35","BARRY.1989",1989,"July","TS",(89-07-11 00:00:00),17.7,-48.2,35
"36","BARRY.1989",1989,"July","TS",(89-07-11 06:00:00),18.8,-49.2,40
"37","BARRY.1989",1989,"July","TS",(89-07-11 12:00:00),19.8,-50.4,40
"38","BARRY.1989",1989,"July","TS",(89-07-11 18:00:00),20.7,-51.8,40
"39","BARRY.1989",1989,"July","TS",(89-07-12 00:00:00),21.4,-53.1,45
"40","BARRY.1989",1989,"July","TS",(89-07-12 06:00:00),22.1,-53.9,45
"41","BARRY.1989",1989,"July","TS",(89-07-12 12:00:00),22.8,-54.4,45
"42","BARRY.1989",1989,"July","TS",(89-07-12 18:00:00),23.5,-54.9,40
"43","BARRY.1989",1989,"July","TS",(89-07-13 00:00:00),23.8,-55.4,40
"44","BARRY.1989",1989,"July","TS",(89-07-13 06:00:00),24,-56,35
"45","BARRY.1989",1989,"July","TS",(89-07-13 12:00:00),23.9,-56.6,35
"46","BARRY.1989",1989,"July","TS",(89-07-13 18:00:00),23.7,-57.4,30
"47","BARRY.1989",1989,"July","TS",(89-07-14 00:00:00),23.3,-58.1,30
"48","DEAN.1989",1989,"July","TS",(89-07-31 06:00:00),14.8,-41.8,25
"49","DEAN.1989",1989,"July","TS",(89-07-31 12:00:00),15,-44.1,25
"50","DEAN.1989",1989,"July","TS",(89-07-31 18:00:00),15.1,-46,30
"51","DEAN.1989",1989,"August","TS",(89-08-01 00:00:00),15.4,-47.6,30
"52","DEAN.1989",1989,"August","TS",(89-08-01 06:00:00),15.8,-49.3,35
"53","DEAN.1989",1989,"August","TS",(89-08-01 12:00:00),16.1,-51.1,40
"54","DEAN.1989",1989,"August","TS",(89-08-01 18:00:00),16.4,-52.9,45
"55","DEAN.1989",1989,"August","TS",(89-08-02 00:00:00),16.6,-54.6,50
"56","DEAN.1989",1989,"August","TS",(89-08-02 06:00:00),16.9,-56.4,60
"57","DEAN.1989",1989,"August","TS",(89-08-02 12:00:00),17.3,-58.1,65
"58","DEAN.1989",1989,"August","TS",(89-08-02 18:00:00),17.9,-59.5,70
"59","DEAN.1989",1989,"August","TS",(89-08-03 00:00:00),18.5,-60.7,70
"60","DEAN.1989",1989,"August","TS",(89-08-03 06:00:00),18.9,-61.7,70
"61","DEAN.1989",1989,"August","TS",(89-08-03 12:00:00),19.3,-62.7,75
"62","DEAN.1989",1989,"August","TS",(89-08-03 18:00:00),19.7,-63.4,75
"63","DEAN.1989",1989,"August","TS",(89-08-04 00:00:00),20.1,-63.8,75
"64","DEAN.1989",1989,"August","TS",(89-08-04 06:00:00),20.4,-63.9,75
"65","DEAN.1989",1989,"August","TS",(89-08-04 12:00:00),20.9,-63.9,75
"66","DEAN.1989",1989,"August","TS",(89-08-04 18:00:00),21.6,-63.8,75
"67","DEAN.1989",1989,"August","TS",(89-08-05 00:00:00),22.5,-63.8,75
"68","DEAN.1989",1989,"August","TS",(89-08-05 06:00:00),23.5,-63.8,75
"69","DEAN.1989",1989,"August","TS",(89-08-05 12:00:00),24.7,-63.9,75
"70","DEAN.1989",1989,"August","TS",(89-08-05 18:00:00),26,-64,75
"71","DEAN.1989",1989,"August","TS",(89-08-06 00:00:00),27.6,-64.3,75
"72","DEAN.1989",1989,"August","TS",(89-08-06 06:00:00),29.2,-64.6,80
"73","DEAN.1989",1989,"August","TS",(89-08-06 12:00:00),30.8,-65,80
"74","DEAN.1989",1989,"August","TS",(89-08-06 18:00:00),32.4,-65.1,85
"75","DEAN.1989",1989,"August","TS",(89-08-07 00:00:00),34,-64.9,90
"76","DEAN.1989",1989,"August","TS",(89-08-07 06:00:00),35.6,-64.5,90
"77","DEAN.1989",1989,"August","TS",(89-08-07 12:00:00),37.5,-64,85
"78","DEAN.1989",1989,"August","TS",(89-08-07 18:00:00),39.4,-63.4,80
"79","DEAN.1989",1989,"August","TS",(89-08-08 00:00:00),41.7,-62.1,75
"80","DEAN.1989",1989,"August","TS",(89-08-08 06:00:00),44.1,-59.7,65
"81","DEAN.1989",1989,"August","TS",(89-08-08 12:00:00),46.5,-56.5,55
"82","DEAN.1989",1989,"August","TS",(89-08-08 13:00:00),46.9,-55.9,55
"83","DEAN.1989",1989,"August","TS",(89-08-08 18:00:00),48.8,-53.2,45
"84","DEAN.1989",1989,"August","TS",(89-08-09 00:00:00),50.8,-48.1,40
"85","DEAN.1989",1989,"August","TS",(89-08-09 06:00:00),51.8,-41.9,35
"86","CHANTAL.1989",1989,"July","TS",(89-07-30 12:00:00),22.5,-90,20
"87","CHANTAL.1989",1989,"July","TS",(89-07-30 18:00:00),23.5,-90.2,25
"88","CHANTAL.1989",1989,"July","TS",(89-07-31 00:00:00),24.4,-90.5,30
"89","CHANTAL.1989",1989,"July","TS",(89-07-31 06:00:00),25.4,-91,35
"90","CHANTAL.1989",1989,"July","TS",(89-07-31 12:00:00),26.2,-91.7,50
"91","CHANTAL.1989",1989,"July","TS",(89-07-31 18:00:00),27.1,-92.2,55
"92","CHANTAL.1989",1989,"August","TS",(89-08-01 00:00:00),27.9,-92.8,65
"93","CHANTAL.1989",1989,"August","TS",(89-08-01 06:00:00),28.7,-93.5,70
"94","CHANTAL.1989",1989,"August","TS",(89-08-01 12:00:00),29.5,-94.3,70
"95","CHANTAL.1989",1989,"August","TS",(89-08-01 13:00:00),29.6,-94.4,70
"96","CHANTAL.1989",1989,"August","TS",(89-08-01 18:00:00),30.2,-95.2,50
"97","CHANTAL.1989",1989,"August","TS",(89-08-02 00:00:00),30.8,-96.1,35
"98","CHANTAL.1989",1989,"August","TS",(89-08-02 06:00:00),31.5,-96.9,25
"99","CHANTAL.1989",1989,"August","TS",(89-08-02 12:00:00),32.3,-97.5,20
"100","CHANTAL.1989",1989,"August","TS",(89-08-02 18:00:00),33.3,-98,20
"101","CHANTAL.1989",1989,"August","TS",(89-08-03 00:00:00),34.5,-98.5,20
"102","ERIN.1989",1989,"August","TS",(89-08-18 00:00:00),14.3,-22.4,25
"103","ERIN.1989",1989,"August","TS",(89-08-18 06:00:00),15.2,-23.8,25
"104","ERIN.1989",1989,"August","TS",(89-08-18 12:00:00),16.2,-25.2,25
"105","ERIN.1989",1989,"August","TS",(89-08-18 18:00:00),17,-26.5,30
"106","ERIN.1989",1989,"August","TS",(89-08-19 00:00:00),17.4,-27.8,30
"107","ERIN.1989",1989,"August","TS",(89-08-19 06:00:00),17.7,-29.4,30
"108","ERIN.1989",1989,"August","TS",(89-08-19 12:00:00),18.1,-31.1,30
"109","ERIN.1989",1989,"August","TS",(89-08-19 18:00:00),18.5,-32.7,35
"110","ERIN.1989",1989,"August","TS",(89-08-20 00:00:00),19.1,-34.3,35
"111","ERIN.1989",1989,"August","TS",(89-08-20 06:00:00),19.6,-35.6,40
"112","ERIN.1989",1989,"August","TS",(89-08-20 12:00:00),20.1,-36.9,40
"113","ERIN.1989",1989,"August","TS",(89-08-20 18:00:00),20.6,-38.3,40
"114","ERIN.1989",1989,"August","TS",(89-08-21 00:00:00),21.1,-39.7,45
"115","ERIN.1989",1989,"August","TS",(89-08-21 06:00:00),22,-41.1,45
"116","ERIN.1989",1989,"August","TS",(89-08-21 12:00:00),23.3,-42.1,45
"117","ERIN.1989",1989,"August","TS",(89-08-21 18:00:00),24.7,-42.8,50
"118","ERIN.1989",1989,"August","TS",(89-08-22 00:00:00),26.2,-43.3,55
"119","ERIN.1989",1989,"August","TS",(89-08-22 06:00:00),27.6,-43.8,60
"120","ERIN.1989",1989,"August","TS",(89-08-22 12:00:00),28.8,-44.5,65
"121","ERIN.1989",1989,"August","TS",(89-08-22 18:00:00),29.7,-45.2,70
"122","ERIN.1989",1989,"August","TS",(89-08-23 00:00:00),30.3,-45.9,70
"123","ERIN.1989",1989,"August","TS",(89-08-23 06:00:00),30.9,-46.3,75
"124","ERIN.1989",1989,"August","TS",(89-08-23 12:00:00),31.5,-46.2,80
"125","ERIN.1989",1989,"August","TS",(89-08-23 18:00:00),32,-46,80
"126","ERIN.1989",1989,"August","TS",(89-08-24 00:00:00),32.6,-45.6,85
"127","ERIN.1989",1989,"August","TS",(89-08-24 06:00:00),33.3,-45.2,85
"128","ERIN.1989",1989,"August","TS",(89-08-24 12:00:00),34.1,-44.5,90
"129","ERIN.1989",1989,"August","TS",(89-08-24 18:00:00),35.1,-43.6,90
"130","ERIN.1989",1989,"August","TS",(89-08-25 00:00:00),36.3,-42.4,90
"131","ERIN.1989",1989,"August","TS",(89-08-25 06:00:00),37.6,-41.1,90
"132","ERIN.1989",1989,"August","TS",(89-08-25 12:00:00),39,-39.7,90
"133","ERIN.1989",1989,"August","TS",(89-08-25 18:00:00),40.6,-38.3,85
"134","ERIN.1989",1989,"August","TS",(89-08-26 00:00:00),42.3,-37.2,80
"135","ERIN.1989",1989,"August","TS",(89-08-26 06:00:00),44.4,-36.2,75
"136","ERIN.1989",1989,"August","TS",(89-08-26 12:00:00),47,-35.1,70
"137","ERIN.1989",1989,"August","TS",(89-08-26 18:00:00),49.5,-33.5,65
"138","ERIN.1989",1989,"August","TS",(89-08-27 00:00:00),51.9,-31.8,60
"139","FELIX.1989",1989,"August","TS",(89-08-26 00:00:00),16.8,-21,25
"140","FELIX.1989",1989,"August","TS",(89-08-26 06:00:00),16.9,-21.7,30
"141","FELIX.1989",1989,"August","TS",(89-08-26 12:00:00),17,-22.2,30
"142","FELIX.1989",1989,"August","TS",(89-08-26 18:00:00),17.2,-22.9,35
"143","FELIX.1989",1989,"August","TS",(89-08-27 00:00:00),17.4,-23.5,35
"144","FELIX.1989",1989,"August","TS",(89-08-27 06:00:00),17.8,-23.9,40
